"week_ending_date","nhs_board_cypher","nhs_board_name","location_code","location_name","attendance","number_over_4_hours","percentage_within_4_hours","number_over_8_hours","percentage_within_8_hours","number_over_12_hours","percentage_within_12_hours"
2015-02-22,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2161,422,80.5,52,97.6,4,99.8
2015-02-22,"B","NHS Borders","B","NHS Borders",517,54,89.6,1,99.8,0,100
2015-02-22,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",800,37,95.4,1,99.9,0,100
2015-02-22,"F","NHS Fife","F","NHS Fife",1284,149,88.4,22,98.3,7,99.5
2015-02-22,"V","NHS Forth Valley","V","NHS Forth Valley",1095,42,96.2,0,100,0,100
2015-02-22,"N","NHS Grampian","N","NHS Grampian",1877,196,89.6,38,98,4,99.8
2015-02-22,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7579,1823,75.9,463,93.9,127,98.3
2015-02-22,"H","NHS Highland","H","NHS Highland",950,47,95.1,1,99.9,0,100
2015-02-22,"L","NHS Lanarkshire","L","NHS Lanarkshire",3648,524,85.6,120,96.7,45,98.8
2015-02-22,"S","NHS Lothian","S","NHS Lothian",3916,216,94.5,34,99.1,0,100
2015-02-22,"R","NHS Orkney","R","NHS Orkney",91,6,93.4,0,100,0,100
2015-02-22,"Z","NHS Shetland","Z","NHS Shetland",146,4,97.3,0,100,0,100
2015-02-22,"T","NHS Tayside","T","NHS Tayside",1336,17,98.7,1,99.9,0,100
2015-02-22,"W","NHS Western Isles","W","NHS Western Isles",113,3,97.3,0,100,0,100
2015-03-01,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2189,307,86,22,99,4,99.8
2015-03-01,"B","NHS Borders","B","NHS Borders",542,43,92.1,2,99.6,0,100
2015-03-01,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",839,51,93.9,1,99.9,0,100
2015-03-01,"F","NHS Fife","F","NHS Fife",1223,134,89,20,98.4,2,99.8
2015-03-01,"V","NHS Forth Valley","V","NHS Forth Valley",1050,51,95.1,0,100,0,100
2015-03-01,"N","NHS Grampian","N","NHS Grampian",1931,179,90.7,14,99.3,0,100
2015-03-01,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7544,1659,78,340,95.5,102,98.6
2015-03-01,"H","NHS Highland","H","NHS Highland",923,70,92.4,10,98.9,2,99.8
2015-03-01,"L","NHS Lanarkshire","L","NHS Lanarkshire",3442,517,85,151,95.6,76,97.8
2015-03-01,"S","NHS Lothian","S","NHS Lothian",4020,272,93.2,19,99.5,1,100
2015-03-01,"R","NHS Orkney","R","NHS Orkney",84,4,95.2,0,100,0,100
2015-03-01,"Z","NHS Shetland","Z","NHS Shetland",152,3,98,0,100,0,100
2015-03-01,"T","NHS Tayside","T","NHS Tayside",1343,23,98.3,0,100,0,100
2015-03-01,"W","NHS Western Isles","W","NHS Western Isles",119,6,95,0,100,0,100
2015-03-08,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2179,282,87.1,30,98.6,7,99.7
2015-03-08,"B","NHS Borders","B","NHS Borders",557,65,88.3,1,99.8,0,100
2015-03-08,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",846,27,96.8,1,99.9,0,100
2015-03-08,"F","NHS Fife","F","NHS Fife",1141,129,88.7,37,96.8,5,99.6
2015-03-08,"V","NHS Forth Valley","V","NHS Forth Valley",1183,221,81.3,23,98.1,0,100
2015-03-08,"N","NHS Grampian","N","NHS Grampian",1899,156,91.8,12,99.4,0,100
2015-03-08,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7359,1130,84.6,80,98.9,2,100
2015-03-08,"H","NHS Highland","H","NHS Highland",943,30,96.8,1,99.9,0,100
2015-03-08,"L","NHS Lanarkshire","L","NHS Lanarkshire",3369,242,92.8,30,99.1,4,99.9
2015-03-08,"S","NHS Lothian","S","NHS Lothian",3989,182,95.4,15,99.6,1,100
2015-03-08,"R","NHS Orkney","R","NHS Orkney",94,0,100,0,100,0,100
2015-03-08,"Z","NHS Shetland","Z","NHS Shetland",137,2,98.5,0,100,0,100
2015-03-08,"T","NHS Tayside","T","NHS Tayside",1330,18,98.6,1,99.9,0,100
2015-03-08,"W","NHS Western Isles","W","NHS Western Isles",125,2,98.4,0,100,0,100
2015-03-15,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2131,199,90.7,25,98.8,16,99.2
2015-03-15,"B","NHS Borders","B","NHS Borders",508,40,92.1,0,100,0,100
2015-03-15,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",813,21,97.4,0,100,0,100
2015-03-15,"F","NHS Fife","F","NHS Fife",1158,128,88.9,20,98.3,0,100
2015-03-15,"V","NHS Forth Valley","V","NHS Forth Valley",1121,50,95.5,3,99.7,0,100
2015-03-15,"N","NHS Grampian","N","NHS Grampian",1909,128,93.3,17,99.1,2,99.9
2015-03-15,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7329,794,89.2,58,99.2,0,100
2015-03-15,"H","NHS Highland","H","NHS Highland",960,33,96.6,1,99.9,0,100
2015-03-15,"L","NHS Lanarkshire","L","NHS Lanarkshire",3533,329,90.7,29,99.2,0,100
2015-03-15,"S","NHS Lothian","S","NHS Lothian",4160,211,94.9,14,99.7,1,100
2015-03-15,"R","NHS Orkney","R","NHS Orkney",95,0,100,0,100,0,100
2015-03-15,"Z","NHS Shetland","Z","NHS Shetland",156,8,94.9,0,100,0,100
2015-03-15,"T","NHS Tayside","T","NHS Tayside",1260,16,98.7,0,100,0,100
2015-03-15,"W","NHS Western Isles","W","NHS Western Isles",105,1,99,0,100,0,100
2015-03-22,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2292,262,88.6,23,99,3,99.9
2015-03-22,"B","NHS Borders","B","NHS Borders",540,43,92,4,99.3,0,100
2015-03-22,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",898,39,95.7,0,100,0,100
2015-03-22,"F","NHS Fife","F","NHS Fife",1218,110,91,16,98.7,0,100
2015-03-22,"V","NHS Forth Valley","V","NHS Forth Valley",1144,47,95.9,0,100,0,100
2015-03-22,"N","NHS Grampian","N","NHS Grampian",1924,154,92,11,99.4,0,100
2015-03-22,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7696,945,87.7,77,99,0,100
2015-03-22,"H","NHS Highland","H","NHS Highland",1045,58,94.4,1,99.9,0,100
2015-03-22,"L","NHS Lanarkshire","L","NHS Lanarkshire",3569,194,94.6,14,99.6,2,99.9
2015-03-22,"S","NHS Lothian","S","NHS Lothian",4149,282,93.2,49,98.8,3,99.9
2015-03-22,"R","NHS Orkney","R","NHS Orkney",93,0,100,0,100,0,100
2015-03-22,"Z","NHS Shetland","Z","NHS Shetland",138,1,99.3,0,100,0,100
2015-03-22,"T","NHS Tayside","T","NHS Tayside",1425,9,99.4,0,100,0,100
2015-03-22,"W","NHS Western Isles","W","NHS Western Isles",116,2,98.3,0,100,0,100
2015-03-29,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2323,346,85.1,48,97.9,1,100
2015-03-29,"B","NHS Borders","B","NHS Borders",548,48,91.2,2,99.6,0,100
2015-03-29,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",918,22,97.6,1,99.9,0,100
2015-03-29,"F","NHS Fife","F","NHS Fife",1200,113,90.6,21,98.3,8,99.3
2015-03-29,"V","NHS Forth Valley","V","NHS Forth Valley",1146,63,94.5,1,99.9,0,100
2015-03-29,"N","NHS Grampian","N","NHS Grampian",1944,99,94.9,5,99.7,0,100
2015-03-29,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7630,916,88,48,99.4,1,100
2015-03-29,"H","NHS Highland","H","NHS Highland",1032,45,95.6,2,99.8,0,100
2015-03-29,"L","NHS Lanarkshire","L","NHS Lanarkshire",3683,338,90.8,56,98.5,10,99.7
2015-03-29,"S","NHS Lothian","S","NHS Lothian",4295,279,93.5,31,99.3,2,100
2015-03-29,"R","NHS Orkney","R","NHS Orkney",72,1,98.6,0,100,0,100
2015-03-29,"Z","NHS Shetland","Z","NHS Shetland",159,5,96.9,0,100,0,100
2015-03-29,"T","NHS Tayside","T","NHS Tayside",1368,8,99.4,0,100,0,100
2015-03-29,"W","NHS Western Isles","W","NHS Western Isles",105,1,99,0,100,0,100
2015-04-05,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2257,216,90.4,24,98.9,1,100
2015-04-05,"B","NHS Borders","B","NHS Borders",539,19,96.5,0,100,0,100
2015-04-05,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",906,39,95.7,3,99.7,0,100
2015-04-05,"F","NHS Fife","F","NHS Fife",1286,110,91.4,7,99.5,0,100
2015-04-05,"V","NHS Forth Valley","V","NHS Forth Valley",1229,102,91.7,0,100,0,100
2015-04-05,"N","NHS Grampian","N","NHS Grampian",1912,158,91.7,8,99.6,0,100
2015-04-05,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7527,972,87.1,46,99.4,0,100
2015-04-05,"H","NHS Highland","H","NHS Highland",1132,40,96.5,0,100,0,100
2015-04-05,"L","NHS Lanarkshire","L","NHS Lanarkshire",3538,394,88.9,76,97.9,9,99.7
2015-04-05,"S","NHS Lothian","S","NHS Lothian",4231,386,90.9,73,98.3,0,100
2015-04-05,"R","NHS Orkney","R","NHS Orkney",84,2,97.6,0,100,0,100
2015-04-05,"Z","NHS Shetland","Z","NHS Shetland",136,1,99.3,0,100,0,100
2015-04-05,"T","NHS Tayside","T","NHS Tayside",1394,28,98,0,100,0,100
2015-04-05,"W","NHS Western Isles","W","NHS Western Isles",119,4,96.6,2,98.3,0,100
2015-04-12,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2265,225,90.1,50,97.8,7,99.7
2015-04-12,"B","NHS Borders","B","NHS Borders",558,32,94.3,2,99.6,0,100
2015-04-12,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",914,25,97.3,1,99.9,0,100
2015-04-12,"F","NHS Fife","F","NHS Fife",1261,148,88.3,33,97.4,12,99
2015-04-12,"V","NHS Forth Valley","V","NHS Forth Valley",1232,100,91.9,1,99.9,0,100
2015-04-12,"N","NHS Grampian","N","NHS Grampian",1895,109,94.2,9,99.5,1,99.9
2015-04-12,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7649,821,89.3,47,99.4,1,100
2015-04-12,"H","NHS Highland","H","NHS Highland",1059,17,98.4,2,99.8,0,100
2015-04-12,"L","NHS Lanarkshire","L","NHS Lanarkshire",3642,430,88.2,30,99.2,7,99.8
2015-04-12,"S","NHS Lothian","S","NHS Lothian",4271,316,92.6,27,99.4,2,100
2015-04-12,"R","NHS Orkney","R","NHS Orkney",89,1,98.9,0,100,0,100
2015-04-12,"Z","NHS Shetland","Z","NHS Shetland",130,5,96.2,0,100,0,100
2015-04-12,"T","NHS Tayside","T","NHS Tayside",1408,22,98.4,0,100,0,100
2015-04-12,"W","NHS Western Isles","W","NHS Western Isles",158,2,98.7,0,100,0,100
2015-04-19,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2128,278,86.9,21,99,3,99.9
2015-04-19,"B","NHS Borders","B","NHS Borders",555,26,95.3,0,100,0,100
2015-04-19,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",859,55,93.6,2,99.8,0,100
2015-04-19,"F","NHS Fife","F","NHS Fife",1169,76,93.5,7,99.4,0,100
2015-04-19,"V","NHS Forth Valley","V","NHS Forth Valley",1187,98,91.7,0,100,0,100
2015-04-19,"N","NHS Grampian","N","NHS Grampian",1888,95,95,5,99.7,0,100
2015-04-19,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7501,1054,85.9,93,98.8,0,100
2015-04-19,"H","NHS Highland","H","NHS Highland",1010,72,92.9,3,99.7,0,100
2015-04-19,"L","NHS Lanarkshire","L","NHS Lanarkshire",3513,404,88.5,77,97.8,30,99.1
2015-04-19,"S","NHS Lothian","S","NHS Lothian",4000,151,96.2,11,99.7,0,100
2015-04-19,"R","NHS Orkney","R","NHS Orkney",97,4,95.9,0,100,0,100
2015-04-19,"Z","NHS Shetland","Z","NHS Shetland",155,2,98.7,0,100,0,100
2015-04-19,"T","NHS Tayside","T","NHS Tayside",1387,23,98.3,1,99.9,1,99.9
2015-04-19,"W","NHS Western Isles","W","NHS Western Isles",135,7,94.8,0,100,0,100
2015-04-26,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2368,394,83.4,52,97.8,14,99.4
2015-04-26,"B","NHS Borders","B","NHS Borders",539,30,94.4,0,100,0,100
2015-04-26,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",865,18,97.9,1,99.9,0,100
2015-04-26,"F","NHS Fife","F","NHS Fife",1195,47,96.1,2,99.8,0,100
2015-04-26,"V","NHS Forth Valley","V","NHS Forth Valley",1199,95,92.1,3,99.7,0,100
2015-04-26,"N","NHS Grampian","N","NHS Grampian",1919,104,94.6,7,99.6,0,100
2015-04-26,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7586,678,91.1,29,99.6,0,100
2015-04-26,"H","NHS Highland","H","NHS Highland",1036,50,95.2,0,100,0,100
2015-04-26,"L","NHS Lanarkshire","L","NHS Lanarkshire",3709,308,91.7,57,98.5,19,99.5
2015-04-26,"S","NHS Lothian","S","NHS Lothian",4042,177,95.6,15,99.6,0,100
2015-04-26,"R","NHS Orkney","R","NHS Orkney",86,0,100,0,100,0,100
2015-04-26,"Z","NHS Shetland","Z","NHS Shetland",145,9,93.8,1,99.3,1,99.3
2015-04-26,"T","NHS Tayside","T","NHS Tayside",1458,34,97.7,0,100,0,100
2015-04-26,"W","NHS Western Isles","W","NHS Western Isles",118,3,97.5,0,100,0,100
2015-05-03,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2153,203,90.6,16,99.3,3,99.9
2015-05-03,"B","NHS Borders","B","NHS Borders",470,25,94.7,0,100,0,100
2015-05-03,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",858,37,95.7,0,100,0,100
2015-05-03,"F","NHS Fife","F","NHS Fife",1134,35,96.9,0,100,0,100
2015-05-03,"V","NHS Forth Valley","V","NHS Forth Valley",1096,61,94.4,1,99.9,0,100
2015-05-03,"N","NHS Grampian","N","NHS Grampian",1829,133,92.7,8,99.6,0,100
2015-05-03,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7263,758,89.6,28,99.6,0,100
2015-05-03,"H","NHS Highland","H","NHS Highland",1040,50,95.2,5,99.5,0,100
2015-05-03,"L","NHS Lanarkshire","L","NHS Lanarkshire",3407,179,94.7,15,99.6,0,100
2015-05-03,"S","NHS Lothian","S","NHS Lothian",3947,121,96.9,7,99.8,0,100
2015-05-03,"R","NHS Orkney","R","NHS Orkney",126,2,98.4,0,100,0,100
2015-05-03,"Z","NHS Shetland","Z","NHS Shetland",168,4,97.6,0,100,0,100
2015-05-03,"T","NHS Tayside","T","NHS Tayside",1345,17,98.7,0,100,0,100
2015-05-03,"W","NHS Western Isles","W","NHS Western Isles",122,4,96.7,0,100,0,100
2015-05-10,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2272,336,85.2,59,97.4,16,99.3
2015-05-10,"B","NHS Borders","B","NHS Borders",542,12,97.8,0,100,0,100
2015-05-10,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",978,44,95.5,1,99.9,0,100
2015-05-10,"F","NHS Fife","F","NHS Fife",1214,37,97,1,99.9,0,100
2015-05-10,"V","NHS Forth Valley","V","NHS Forth Valley",1207,113,90.6,19,98.4,0,100
2015-05-10,"N","NHS Grampian","N","NHS Grampian",1874,97,94.8,3,99.8,0,100
2015-05-10,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7300,643,91.2,22,99.7,0,100
2015-05-10,"H","NHS Highland","H","NHS Highland",1160,64,94.5,3,99.7,0,100
2015-05-10,"L","NHS Lanarkshire","L","NHS Lanarkshire",3612,280,92.2,40,98.9,12,99.7
2015-05-10,"S","NHS Lothian","S","NHS Lothian",4027,97,97.6,5,99.9,0,100
2015-05-10,"R","NHS Orkney","R","NHS Orkney",112,1,99.1,0,100,0,100
2015-05-10,"Z","NHS Shetland","Z","NHS Shetland",159,2,98.7,1,99.4,1,99.4
2015-05-10,"T","NHS Tayside","T","NHS Tayside",1382,16,98.8,0,100,0,100
2015-05-10,"W","NHS Western Isles","W","NHS Western Isles",124,2,98.4,0,100,0,100
2015-05-17,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2279,327,85.7,27,98.8,3,99.9
2015-05-17,"B","NHS Borders","B","NHS Borders",489,17,96.5,0,100,0,100
2015-05-17,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",825,23,97.2,0,100,0,100
2015-05-17,"F","NHS Fife","F","NHS Fife",1203,40,96.7,3,99.8,0,100
2015-05-17,"V","NHS Forth Valley","V","NHS Forth Valley",1168,73,93.8,1,99.9,0,100
2015-05-17,"N","NHS Grampian","N","NHS Grampian",1898,59,96.9,4,99.8,1,99.9
2015-05-17,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",7311,864,88.2,71,99,0,100
2015-05-17,"H","NHS Highland","H","NHS Highland",1112,76,93.2,6,99.5,0,100
2015-05-17,"L","NHS Lanarkshire","L","NHS Lanarkshire",3603,329,90.9,88,97.6,43,98.8
2015-05-17,"S","NHS Lothian","S","NHS Lothian",4110,225,94.5,10,99.8,0,100
2015-05-17,"R","NHS Orkney","R","NHS Orkney",103,1,99,0,100,0,100
2015-05-17,"Z","NHS Shetland","Z","NHS Shetland",153,4,97.4,0,100,0,100
2015-05-17,"T","NHS Tayside","T","NHS Tayside",1376,15,98.9,0,100,0,100
2015-05-17,"W","NHS Western Isles","W","NHS Western Isles",125,2,98.4,0,100,0,100
2015-05-24,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2386,287,88,16,99.3,0,100
2015-05-24,"B","NHS Borders","B","NHS Borders",520,10,98.1,0,100,0,100
2015-05-24,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",939,17,98.2,0,100,0,100
2015-05-24,"F","NHS Fife","F","NHS Fife",1232,49,96,0,100,0,100
2015-05-24,"V","NHS Forth Valley","V","NHS Forth Valley",1250,157,87.4,7,99.4,0,100
2015-05-24,"N","NHS Grampian","N","NHS Grampian",1907,88,95.4,5,99.7,0,100
2015-05-24,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",6720,793,88.2,76,98.9,1,100
2015-05-24,"H","NHS Highland","H","NHS Highland",1104,47,95.7,4,99.6,0,100
2015-05-24,"L","NHS Lanarkshire","L","NHS Lanarkshire",3611,343,90.5,66,98.2,35,99
2015-05-24,"S","NHS Lothian","S","NHS Lothian",4103,228,94.4,11,99.7,0,100
2015-05-24,"R","NHS Orkney","R","NHS Orkney",113,4,96.5,0,100,0,100
2015-05-24,"Z","NHS Shetland","Z","NHS Shetland",142,3,97.9,0,100,0,100
2015-05-24,"T","NHS Tayside","T","NHS Tayside",1332,17,98.7,0,100,0,100
2015-05-24,"W","NHS Western Isles","W","NHS Western Isles",117,0,100,0,100,0,100
2015-05-31,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2297,167,92.7,10,99.6,2,99.9
2015-05-31,"B","NHS Borders","B","NHS Borders",635,39,93.9,1,99.8,0,100
2015-05-31,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",877,15,98.3,2,99.8,0,100
2015-05-31,"F","NHS Fife","F","NHS Fife",1249,34,97.3,1,99.9,0,100
2015-05-31,"V","NHS Forth Valley","V","NHS Forth Valley",1204,122,89.9,3,99.8,0,100
2015-05-31,"N","NHS Grampian","N","NHS Grampian",1919,97,94.9,4,99.8,0,100
2015-05-31,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",6601,769,88.4,61,99.1,1,100
2015-05-31,"H","NHS Highland","H","NHS Highland",1126,62,94.5,3,99.7,0,100
2015-05-31,"L","NHS Lanarkshire","L","NHS Lanarkshire",3688,342,90.7,47,98.7,16,99.6
2015-05-31,"S","NHS Lothian","S","NHS Lothian",4169,255,93.9,23,99.4,2,100
2015-05-31,"R","NHS Orkney","R","NHS Orkney",108,3,97.2,1,99.1,0,100
2015-05-31,"Z","NHS Shetland","Z","NHS Shetland",145,1,99.3,0,100,0,100
2015-05-31,"T","NHS Tayside","T","NHS Tayside",1476,13,99.1,0,100,0,100
2015-05-31,"W","NHS Western Isles","W","NHS Western Isles",126,1,99.2,0,100,0,100
2015-06-07,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2178,222,89.8,26,98.8,5,99.8
2015-06-07,"B","NHS Borders","B","NHS Borders",543,24,95.6,0,100,0,100
2015-06-07,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",909,12,98.7,0,100,0,100
2015-06-07,"F","NHS Fife","F","NHS Fife",1237,49,96,1,99.9,0,100
2015-06-07,"V","NHS Forth Valley","V","NHS Forth Valley",1209,108,91.1,1,99.9,0,100
2015-06-07,"N","NHS Grampian","N","NHS Grampian",1963,100,94.9,0,100,0,100
2015-06-07,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",6227,774,87.6,68,98.9,8,99.9
2015-06-07,"H","NHS Highland","H","NHS Highland",1051,38,96.4,3,99.7,0,100
2015-06-07,"L","NHS Lanarkshire","L","NHS Lanarkshire",3602,314,91.3,39,98.9,7,99.8
2015-06-07,"S","NHS Lothian","S","NHS Lothian",4100,158,96.1,14,99.7,0,100
2015-06-07,"R","NHS Orkney","R","NHS Orkney",102,0,100,0,100,0,100
2015-06-07,"Z","NHS Shetland","Z","NHS Shetland",129,4,96.9,0,100,0,100
2015-06-07,"T","NHS Tayside","T","NHS Tayside",1415,36,97.5,0,100,0,100
2015-06-07,"W","NHS Western Isles","W","NHS Western Isles",128,5,96.1,0,100,0,100
2015-06-14,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2443,232,90.5,19,99.2,4,99.8
2015-06-14,"B","NHS Borders","B","NHS Borders",561,29,94.8,0,100,0,100
2015-06-14,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",940,38,96,0,100,0,100
2015-06-14,"F","NHS Fife","F","NHS Fife",1248,45,96.4,1,99.9,0,100
2015-06-14,"V","NHS Forth Valley","V","NHS Forth Valley",1320,144,89.1,4,99.7,0,100
2015-06-14,"N","NHS Grampian","N","NHS Grampian",2084,141,93.2,7,99.7,0,100
2015-06-14,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",6544,835,87.2,44,99.3,0,100
2015-06-14,"H","NHS Highland","H","NHS Highland",1184,64,94.6,1,99.9,0,100
2015-06-14,"L","NHS Lanarkshire","L","NHS Lanarkshire",3940,345,91.2,60,98.5,12,99.7
2015-06-14,"S","NHS Lothian","S","NHS Lothian",4300,141,96.7,3,99.9,0,100
2015-06-14,"R","NHS Orkney","R","NHS Orkney",111,0,100,0,100,0,100
2015-06-14,"Z","NHS Shetland","Z","NHS Shetland",157,5,96.8,0,100,0,100
2015-06-14,"T","NHS Tayside","T","NHS Tayside",1458,31,97.9,0,100,0,100
2015-06-14,"W","NHS Western Isles","W","NHS Western Isles",124,1,99.2,0,100,0,100
2015-06-21,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2321,157,93.2,14,99.4,1,100
2015-06-21,"B","NHS Borders","B","NHS Borders",512,15,97.1,0,100,0,100
2015-06-21,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",899,21,97.7,0,100,0,100
2015-06-21,"F","NHS Fife","F","NHS Fife",1314,54,95.9,10,99.2,0,100
2015-06-21,"V","NHS Forth Valley","V","NHS Forth Valley",1271,104,91.8,5,99.6,0,100
2015-06-21,"N","NHS Grampian","N","NHS Grampian",1958,155,92.1,14,99.3,0,100
2015-06-21,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",6191,510,91.8,6,99.9,0,100
2015-06-21,"H","NHS Highland","H","NHS Highland",1081,50,95.4,2,99.8,0,100
2015-06-21,"L","NHS Lanarkshire","L","NHS Lanarkshire",3733,249,93.3,24,99.4,1,100
2015-06-21,"S","NHS Lothian","S","NHS Lothian",4209,195,95.4,6,99.9,0,100
2015-06-21,"R","NHS Orkney","R","NHS Orkney",118,1,99.2,0,100,0,100
2015-06-21,"Z","NHS Shetland","Z","NHS Shetland",156,7,95.5,0,100,0,100
2015-06-21,"T","NHS Tayside","T","NHS Tayside",1403,22,98.4,0,100,0,100
2015-06-21,"W","NHS Western Isles","W","NHS Western Isles",126,0,100,0,100,0,100
2015-06-28,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2273,147,93.5,3,99.9,0,100
2015-06-28,"B","NHS Borders","B","NHS Borders",517,13,97.5,0,100,0,100
2015-06-28,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",926,27,97.1,0,100,0,100
2015-06-28,"F","NHS Fife","F","NHS Fife",1310,55,95.8,2,99.8,0,100
2015-06-28,"V","NHS Forth Valley","V","NHS Forth Valley",1227,44,96.4,2,99.8,0,100
2015-06-28,"N","NHS Grampian","N","NHS Grampian",1967,91,95.4,6,99.7,0,100
2015-06-28,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",6063,450,92.6,17,99.7,0,100
2015-06-28,"H","NHS Highland","H","NHS Highland",1076,20,98.1,0,100,0,100
2015-06-28,"L","NHS Lanarkshire","L","NHS Lanarkshire",3558,217,93.9,30,99.2,11,99.7
2015-06-28,"S","NHS Lothian","S","NHS Lothian",4025,208,94.8,19,99.5,0,100
2015-06-28,"R","NHS Orkney","R","NHS Orkney",124,3,97.6,1,99.2,0,100
2015-06-28,"Z","NHS Shetland","Z","NHS Shetland",140,7,95,1,99.3,0,100
2015-06-28,"T","NHS Tayside","T","NHS Tayside",1372,22,98.4,0,100,0,100
2015-06-28,"W","NHS Western Isles","W","NHS Western Isles",142,3,97.9,0,100,0,100
2015-07-05,"A","NHS Ayrshire & Arran","A","NHS Ayrshire & Arran",2359,153,93.5,19,99.2,1,100
2015-07-05,"B","NHS Borders","B","NHS Borders",484,12,97.5,0,100,0,100
2015-07-05,"Y","NHS Dumfries & Galloway","Y","NHS Dumfries & Galloway",932,9,99,0,100,0,100
2015-07-05,"F","NHS Fife","F","NHS Fife",1297,46,96.5,6,99.5,0,100
2015-07-05,"V","NHS Forth Valley","V","NHS Forth Valley",1225,151,87.7,10,99.2,0,100
2015-07-05,"N","NHS Grampian","N","NHS Grampian",2044,79,96.1,4,99.8,0,100
2015-07-05,"G","NHS Greater Glasgow & Clyde","G","NHS Greater Glasgow & Clyde",6309,354,94.4,3,100,0,100
2015-07-05,"H","NHS Highland","H","NHS Highland",1226,38,96.9,1,99.9,0,100
2015-07-05,"L","NHS Lanarkshire","L","NHS Lanarkshire",3578,140,96.1,11,99.7,0,100
2015-07-05,"S","NHS Lothian","S","NHS Lothian",4070,358,91.2,60,98.5,10,99.8
2015-07-05,"R","NHS Orkney","R","NHS Orkney",136,1,99.3,0,100,0,100
2015-07-05,"Z","NHS Shetland","Z","NHS Shetland",172,5,97.1,1,99.4,0,100
2015-07-05,"T","NHS Tayside","T","NHS Tayside",1500,21,98.6,0,100,0,100
